"Date","Occupation Code","Occupation Skill Level","Occupation Standard","Occupation","Count"
2009-07-31,"(not recorded)","(not recorded)","N/A","(not recorded)",30
2009-07-31,"12111","(not recorded)","NZSCO","General Manager",3
2009-07-31,"12213","(not recorded)","NZSCO","Works Manager",0
2009-07-31,"12222","(not recorded)","NZSCO","Project Manager",3
2009-07-31,"12224","(not recorded)","NZSCO","Accounting Manager",3
2009-07-31,"12241","(not recorded)","NZSCO","District Sales Manager",0
2009-07-31,"12241","(not recorded)","NZSCO","Marketing Manager",3
2009-07-31,"12241","(not recorded)","NZSCO","Sales and/or Marketing Manager",3
2009-07-31,"12241","(not recorded)","NZSCO","Sales Manager",0
2009-07-31,"12265","(not recorded)","NZSCO","Restaurant Manager",3
2009-07-31,"21311","(not recorded)","NZSCO","Computer Systems Analyst",0
2009-07-31,"21311","(not recorded)","NZSCO","Systems Analyst",0
2009-07-31,"21312","(not recorded)","NZSCO","Computer Applications Engineer",0
2009-07-31,"21312","(not recorded)","NZSCO","Software Engineer",3
2009-07-31,"21312","(not recorded)","NZSCO","Systems Software Engineer",0
2009-07-31,"21411","(not recorded)","NZSCO","Housing Architect",3
2009-07-31,"21431","(not recorded)","NZSCO","Electrical Engineer",0
2009-07-31,"21441","(not recorded)","NZSCO","Electronic and Telecommunications Engineer",3
2009-07-31,"21441","(not recorded)","NZSCO","Electronics Engineer",0
2009-07-31,"22221","(not recorded)","NZSCO","Dentist",3
2009-07-31,"22241","(not recorded)","NZSCO","Health Service Pharmacist",3
2009-07-31,"22242","(not recorded)","NZSCO","Community Pharmacist",0
2009-07-31,"23111","(not recorded)","NZSCO","University Professor",0
2009-07-31,"24111","(not recorded)","NZSCO","Accountant",0
2009-07-31,"24111","(not recorded)","NZSCO","Company Accountant",3
2009-07-31,"24133","(not recorded)","NZSCO","Financial Analyst",3
2009-07-31,"31142","(not recorded)","NZSCO","Computer Services Technician",0
2009-07-31,"33152","(not recorded)","NZSCO","Computer Consultant",0
2009-07-31,"33692","(not recorded)","NZSCO","Physical Training Instructor",0
2009-07-31,"41141","(not recorded)","NZSCO","Office Secretary",3
2009-07-31,"42121","(not recorded)","NZSCO","Bank Officer",3
2009-07-31,"61131","(not recorded)","NZSCO","Nursery Grower",0
2009-07-31,"71121","(not recorded)","NZSCO","Carpenter Maintenance",0
2009-07-31,"74211","(not recorded)","NZSCO","Cabinet Maker",3
2009-07-31,"99999","(not recorded)","NZSCO","Not Stated",21
2009-07-31,"111111","Skill level 1","ANZSCO","Chief Executive or Managing Director",3
2009-07-31,"111211","Skill level 1","ANZSCO","Corporate General Manager",0
2009-07-31,"121213","Skill level 1","ANZSCO","Fruit or Nut Grower",3
2009-07-31,"121216","Skill level 1","ANZSCO","Mixed Crop Farmer",3
2009-07-31,"121313","Skill level 1","ANZSCO","Dairy Cattle Farmer",12
2009-07-31,"121315","Skill level 1","ANZSCO","Goat Farmer",0
2009-07-31,"121321","Skill level 1","ANZSCO","Poultry Farmer",3
2009-07-31,"131112","Skill level 1","ANZSCO","Sales and Marketing Manager",6
2009-07-31,"132111","Skill level 1","ANZSCO","Corporate Services Manager",3
2009-07-31,"132211","Skill level 1","ANZSCO","Finance Manager",3
2009-07-31,"132311","Skill level 1","ANZSCO","Human Resource Manager",0
2009-07-31,"132411","Skill level 1","ANZSCO","Policy and Planning Manager",0
2009-07-31,"133111","Skill level 1","ANZSCO","Construction Project Manager",3
2009-07-31,"133211","Skill level 1","ANZSCO","Engineering Manager",3
2009-07-31,"133311","Skill level 1","ANZSCO","Importer or Exporter",3
2009-07-31,"133512","Skill level 1","ANZSCO","Production Manager (Manufacturing)",3
2009-07-31,"133611","Skill level 1","ANZSCO","Supply and Distribution Manager",3
2009-07-31,"134499","Skill level 1","ANZSCO","Education Managers nec",0
2009-07-31,"135112","Skill level 1","ANZSCO","ICT Project Manager",3
2009-07-31,"135199","Skill level 1","ANZSCO","ICT Managers nec",3
2009-07-31,"139211","Skill level 1","ANZSCO","Senior Non-commissioned Defence Force Member",3
2009-07-31,"139911","Skill level 1","ANZSCO","Arts Administrator or Manager",3
2009-07-31,"139999","Skill level 1","ANZSCO","Specialist Managers nec",3
2009-07-31,"141111","Skill level 2","ANZSCO","Cafe or Restaurant Manager",15
2009-07-31,"141311","Skill level 2","ANZSCO","Hotel or Motel Manager",3
2009-07-31,"141999","Skill level 2","ANZSCO","Accommodation and Hospitality Managers nec",3
2009-07-31,"142111","Skill level 2","ANZSCO","Retail Manager (General)",18
2009-07-31,"142116","Skill level 2","ANZSCO","Travel Agency Manager",3
2009-07-31,"149212","Skill level 2","ANZSCO","Customer Service Manager",3
2009-07-31,"149311","Skill level 2","ANZSCO","Conference and Event Organiser",0
2009-07-31,"149413","Skill level 2","ANZSCO","Transport Company Manager",3
2009-07-31,"211311","Skill level 1","ANZSCO","Photographer",0
2009-07-31,"211499","Skill level 1","ANZSCO","Visual Arts and Crafts Professionals nec",0
2009-07-31,"212314","Skill level 1","ANZSCO","Film and Video Editor",3
2009-07-31,"212318","Skill level 1","ANZSCO","Video Producer",0
2009-07-31,"221111","Skill level 1","ANZSCO","Accountant (General)",9
2009-07-31,"221112","Skill level 1","ANZSCO","Management Accountant",0
2009-07-31,"221113","Skill level 1","ANZSCO","Taxation Accountant",3
2009-07-31,"221211","Skill level 1","ANZSCO","Company Secretary",0
2009-07-31,"221213","Skill level 1","ANZSCO","External Auditor",0
2009-07-31,"221214","Skill level 1","ANZSCO","Internal Auditor",3
2009-07-31,"222112","Skill level 2","ANZSCO","Finance Broker",3
2009-07-31,"222311","Skill level 1","ANZSCO","Financial Investment Adviser",0
2009-07-31,"223111","Skill level 1","ANZSCO","Human Resource Adviser",0
