"Date","Standard Major Group","Standard Submajor Group","Occupation","Occupation Code","Count"
2009-07-31,"(not recorded)","(not recorded)","(not recorded)","(not recorded)",30
2009-07-31,"Agriculture and Fishery Workers","Market Oriented Agricultural and Fishery Workers","Nursery Grower","61131",0
2009-07-31,"Clerical and Administrative Workers","Clerical and Office Support Workers","Clerical and Office Support Workers nec","561999",0
2009-07-31,"Clerical and Administrative Workers","Inquiry Clerks and Receptionists","Call or Contact Centre Team Leader","541111",0
2009-07-31,"Clerical and Administrative Workers","Inquiry Clerks and Receptionists","Medical Receptionist","542114",0
2009-07-31,"Clerical and Administrative Workers","Numerical Clerks","Accounts Clerk","551111",3
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Contract Administrator","511111",3
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Office Manager","512111",6
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Practice Managers nec","512299",0
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Program or Project Administrator","511112",6
2009-07-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Clerical and Administrative Workers nec","599999",0
2009-07-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Legal Secretary","521212",0
2009-07-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Personal Assistant","521111",3
2009-07-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Secretary (General)","521211",3
2009-07-31,"Clerks","Customer Services Clerks","Bank Officer","42121",3
2009-07-31,"Clerks","Office Clerks","Office Secretary","41141",3
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Community Worker","411711",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Dental Technician","411213",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Dental Therapist","411214",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Enrolled Nurse","411411",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Massage Therapist","411611",3
2009-07-31,"Community and Personal Service Workers","Hospitality Workers","Cafe Worker","431211",3
2009-07-31,"Community and Personal Service Workers","Protective Service Workers","Police Officer","441312",3
2009-07-31,"Community and Personal Service Workers","Protective Service Workers","Prison Officer","442111",3
2009-07-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Other Sports Coach or Instructor","452317",0
2009-07-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Sports Development Officer","452321",0
2009-07-31,"Labourers","Construction and Mining Labourers","Builder's Labourer","821111",3
2009-07-31,"Labourers","Factory Process Workers","Food and Drink Factory Workers nec","831199",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Accounting Manager","12224",3
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","District Sales Manager","12241",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","General Manager","12111",3
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Marketing Manager","12241",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Project Manager","12222",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Restaurant Manager","12265",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Sales and/or Marketing Manager","12241",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Sales Manager","12241",3
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Works Manager","12213",0
2009-07-31,"Machinery Operators and Drivers","Machine and Stationary Plant Operators","Engineering Production Worker","712311",3
2009-07-31,"Managers","Chief Executives, General Managers and Legislators","Chief Executive or Managing Director","111111",3
2009-07-31,"Managers","Chief Executives, General Managers and Legislators","Corporate General Manager","111211",3
2009-07-31,"Managers","Farmers and Farm Managers","Dairy Cattle Farmer","121313",12
2009-07-31,"Managers","Farmers and Farm Managers","Fruit or Nut Grower","121213",0
2009-07-31,"Managers","Farmers and Farm Managers","Goat Farmer","121315",0
2009-07-31,"Managers","Farmers and Farm Managers","Mixed Crop Farmer","121216",3
2009-07-31,"Managers","Farmers and Farm Managers","Poultry Farmer","121321",3
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Accommodation and Hospitality Managers nec","141999",3
